numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,class
att_1,att_2,att_3,att_4,att_5,att_6,att_7,att_8,att_9,att_10,att_11,att_12,att_13,att_14,att_15,att_16,att_17,att_18,att_19,att_20,class
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-1
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-1
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-1
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-1
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-1
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-1
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-1
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-1
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-1
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-1
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-1
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-1
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-1
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-1
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-1
1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,-1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,-1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,-1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,-1
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-1
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-1
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,-1
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,-1
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,-1
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-1
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,-1
1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,-1
1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,-1
1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,-1
1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-1
1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,-1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,-1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,-1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,-1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-1
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,-1
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,-1
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-1
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-1
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,-1
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,-1
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,-1
1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,-1
1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-1
1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,-1
1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,-1
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,-1
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,-1
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-1
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,-1
1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,-1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,-1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,-1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,-1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,-1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,-1
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,-1
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,-1
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,-1
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,-1
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,-1
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,-1
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,-1
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,-1
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,-1
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-1
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,-1
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,-1
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,-1
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,-1
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,-1
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,-1
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,-1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,-1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,-1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,-1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,-1
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,-1
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,-1
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,-1
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,-1
