class, categoric, categoric, categoric, categoric
Conclusion,Skin,Colour,Size,Flesh
safe,hairy,brown,large,hard
safe,hairy,green,large,hard
dangerous,smooth,red,large,soft
safe,hairy,green,large,soft
safe,hairy,red,small,hard
safe,smooth,red,small,hard
safe,smooth,brown,small,hard
dangerous,hairy,green,small,soft
dangerous,smooth,green,small,hard
safe,hairy,red,large,hard
safe,smooth,brown,large,soft
dangerous,smooth,green,small,soft
safe,hairy,red,small,soft
dangerous,smooth,red,large,hard
safe,smooth,red,small,hard
dangerous,hairy,green,small,hard
